Langgraph swarm	https://github.com/langchain-ai/langgraph-swarm-py
Archon	https://github.com/coleam00/Archon
Agent-S	https://www.simular.ai/agent-s2
Eko	https://fellou.ai/eko/
Volt Agent	Https://voltagent.dev
Nvidia AgentiQ	https://github.com/NVIDIA/AgentIQ
Rowboat	https://www.rowboatlabs.com/
Ax Agent Framework	https://axllm.dev/
Google ADK	https://github.com/google/adk-python
Deerflow	https://github.com/bytedance/deer-flow
Suna	https://www.suna.so/
Cloudflare Agents	https://developers.cloudflare.com/agents/
Typed AI	https://typedai.dev/
IBM BeeAI	https://github.com/i-am-bee/beeai-framework
Langflow	https://www.langflow.org/
Water	https://github.com/manthanguptaa/water
Agentflow	https://www.agentflow.digital/
Parlant	Https://parlant.io
Spin AI	https://www.spinai.dev/
Magma	https://github.com/pompeii-labs/magma
Pocket Flow	https://the-pocket-world.github.io/Pocket-Flow-Framework/
AIdent	https://aident.ai/
Agno (formerly Phidata) 	Https://agno.com
Pippin	https://github.com/pippinlovesyou/pippin
OpenHands	Https://all-hands.dev
Griptape	https://griptape.ai
n8n	https://n8n.io
Agentstack	https://agentstack.sh/
GPT Researcher	https://gptr.dev/
Flowise	https://flowiseai.com
Semantic Kernel (Microsoft)	https://learn.microsoft.com/en-us/semantic-kernel/overview/
SuperAGI	https://superagi.com/
Autogen	https://www.microsoft.com/en-us/research/project/autogen/
Pyspur	https://www.pyspur.dev/
AgentVerse	https://agentverse.ai/
Letta / MemGPT	https://www.letta.com/
BabyAGI	https://babyagi.org/
Agent Zero	https://www.skool.com/agent-zero/about
Camel AI	https://www.camel-ai.org/
HuggingFace SmolAgents	https://huggingface.co/docs/smolagents/index
Potpie	https://potpie.ai/
Integuru	https://integuru.ai/
Langbase	https://langbase.com/
Dan Miessler's Fabric	https://danielmiessler.com/blog/fabric-origin-story
Motia	https://motia.dev
Rivet	https://rivet.gg
CrewAI	https://crewai.com
Ag2 (Nov 24 Autogen fork)	ag2.ai
AutoGPT	https://agpt.co/
Dify	https://dify.ai
Pydantic AI	https://ai.pydantic.dev/
Atomic Agents	https://github.com/BrainBlend-AI/atomic-agents
Julep	https://julep.ai/